City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,provideniya,64.3833,-173.3,28.85,93,100,20.07,RU,1667831083
1,port hardy,50.6996,-127.4199,32.18,64,20,19.57,CA,1667831083
2,saint anthony,45.0205,-93.218,28.45,72,0,10.36,US,1667830497
3,dikson,73.5069,80.5464,7.74,91,100,11.36,RU,1667831084
4,egvekinot,66.3167,-179.1667,24.33,96,100,10.0,RU,1667831084
5,hobart,-42.8794,147.3294,55.06,92,53,4.61,AU,1667830867
6,castro,-24.7911,-50.0119,63.91,50,0,5.14,BR,1667831084
7,rikitea,-23.1203,-134.9692,72.84,86,100,22.1,PF,1667831085
8,cidreira,-30.1811,-50.2056,64.96,74,6,11.97,BR,1667831085
9,port elizabeth,-33.918,25.5701,74.1,75,0,19.57,ZA,1667831085
10,abu dhabi,24.4667,54.3667,86.11,65,0,4.61,AE,1667830453
11,puerto ayora,-0.7393,-90.3518,71.56,85,28,4.0,EC,1667831085
12,tiksi,71.6872,128.8694,0.68,90,100,21.34,RU,1667831086
13,lagoa,39.05,-27.9833,63.54,74,100,15.86,PT,1667831086
14,lazaro cardenas,17.9583,-102.2,77.05,85,32,3.62,MX,1667830981
15,zubova polyana,54.0771,42.8372,34.75,82,100,8.28,RU,1667831086
16,tiarei,-17.5333,-149.3333,73.42,89,100,19.64,PF,1667830496
17,te anau,-45.4167,167.7167,47.7,93,100,0.89,NZ,1667830595
18,lebu,-37.6167,-73.65,57.72,68,21,8.05,CL,1667831087
19,okhotsk,59.3833,143.3,8.31,88,48,10.2,RU,1667831087
20,digoin,46.4812,3.9795,66.29,45,0,5.75,FR,1667831087
21,ponta grossa,-25.095,-50.1619,63.64,54,0,5.55,BR,1667831087
22,chuy,-33.6971,-53.4616,67.77,56,6,13.06,UY,1667831088
23,bethel,41.3712,-73.414,72.66,76,0,8.05,US,1667831088
24,saint-joseph,-21.3667,55.6167,75.58,77,75,8.63,RE,1667831088
25,maun,-19.9833,23.4167,85.96,51,75,6.91,BW,1667831088
26,vaini,-21.2,-175.2,69.96,88,20,4.61,TO,1667831089
27,saint-philippe,-21.3585,55.7679,76.59,75,59,10.25,RE,1667831089
28,punta arenas,-53.15,-70.9167,53.11,76,100,10.89,CL,1667830866
29,vao,-22.6667,167.4833,74.61,84,100,17.49,NC,1667831089
30,yellowknife,62.456,-114.3525,1.92,85,100,4.61,CA,1667831041
31,hilo,19.7297,-155.09,71.11,92,100,5.99,US,1667831090
32,dunedin,-45.8742,170.5036,54.81,71,89,5.99,NZ,1667831061
33,langsa,4.4683,97.9683,75.18,95,100,2.3,ID,1667831090
34,qaqortoq,60.7167,-46.0333,29.19,90,89,2.64,GL,1667831090
35,mnogovershinnyy,53.9353,139.9242,18.59,92,92,5.95,RU,1667831091
36,mataura,-46.1927,168.8643,45.28,99,97,1.21,NZ,1667831091
37,tuatapere,-46.1333,167.6833,48.87,91,93,3.04,NZ,1667831091
38,tasiilaq,65.6145,-37.6368,30.36,89,100,13.71,GL,1667831091
39,hirara,24.8,125.2833,76.57,80,93,16.93,JP,1667831092
40,la ronge,55.1001,-105.2842,5.25,78,40,8.05,CA,1667831092
41,upernavik,72.7868,-56.1549,12.29,85,100,1.23,GL,1667831092
42,cape town,-33.9258,18.4232,75.11,52,0,12.66,ZA,1667831026
43,kapaa,22.0752,-159.319,77.32,84,75,13.8,US,1667831092
44,pangody,65.85,74.4859,20.97,96,100,8.32,RU,1667831093
45,busselton,-33.65,115.3333,60.31,74,99,13.87,AU,1667831093
46,jamestown,42.097,-79.2353,55.02,63,0,11.5,US,1667831093
47,kirovskiy,45.0917,133.5136,35.11,97,91,3.74,RU,1667830868
48,batemans bay,-35.7167,150.1833,56.34,96,27,3.85,AU,1667831094
49,bulungu,-4.55,18.6,82.35,71,100,2.95,CD,1667831094
50,aksay,47.26,39.87,41.25,60,100,13.0,RU,1667831094
51,champerico,14.3,-91.9167,81.14,78,98,3.2,GT,1667831094
52,port hedland,-20.3167,118.5667,73.45,68,10,17.27,AU,1667831095
53,yumen,40.2833,97.2,42.22,32,100,5.23,CN,1667831095
54,cayenne,4.9333,-52.3333,82.44,83,100,4.61,GF,1667831095
55,ribeira grande,38.5167,-28.7,68.4,68,40,12.66,PT,1667831095
56,ushuaia,-54.8,-68.3,49.66,76,20,4.61,AR,1667831096
57,kavieng,-2.5744,150.7967,82.58,74,100,5.75,PG,1667831096
58,hithadhoo,-0.6,73.0833,82.45,74,75,16.78,MV,1667831096
59,hofn,64.2539,-15.2082,42.82,75,75,19.57,IS,1667830561
60,bluff,-46.6,168.3333,52.7,85,56,12.88,NZ,1667831096
61,port-gentil,-0.7193,8.7815,85.96,74,75,12.66,GA,1667831097
62,eaton socon,52.2175,-0.2893,59.23,85,100,17.11,GB,1667831097
63,longyearbyen,78.2186,15.6401,30.04,80,75,13.8,SJ,1667831097
64,barrow,71.2906,-156.7887,30.22,86,100,13.8,US,1667830915
65,mahanoro,-19.9,48.8,77.58,70,41,12.82,MG,1667831098
66,paamiut,61.994,-49.6678,16.75,71,93,6.06,GL,1667831098
67,pangnirtung,66.1451,-65.7125,14.0,44,20,5.75,CA,1667831098
68,saskylakh,71.9167,114.0833,-22.92,100,81,4.25,RU,1667831098
69,najran,17.4924,44.1277,80.96,13,0,13.29,SA,1667830366
70,ballinrobe,53.6333,-9.2333,55.51,89,100,21.27,IE,1667831099
71,chokurdakh,70.6333,147.9167,-1.89,89,100,14.2,RU,1667831099
72,east london,-33.0153,27.9116,72.54,83,100,10.36,ZA,1667831099
73,touros,-5.1989,-35.4608,83.95,55,100,13.4,BR,1667830890
74,laguna,38.421,-121.4238,49.17,91,0,4.61,US,1667830899
75,tofield,53.3668,-112.6686,6.78,97,100,8.81,CA,1667831100
76,geraldton,-28.7667,114.6,64.81,72,40,6.91,AU,1667831100
77,san cristobal,7.7669,-72.225,71.78,64,27,5.32,VE,1667831100
78,hailey,43.5196,-114.3153,39.88,81,100,11.5,US,1667831100
79,necochea,-38.5473,-58.7368,74.46,43,7,15.01,AR,1667831101
80,torbay,47.6666,-52.7314,61.75,92,75,17.27,CA,1667831101
81,berlevag,70.8578,29.0864,33.75,86,75,2.3,NO,1667831101
82,jiazi,22.8779,116.067,70.5,86,100,14.41,CN,1667831102
83,golyshmanovo,56.3979,68.3728,25.23,91,100,3.71,RU,1667831102
84,barranca,-10.75,-77.7667,65.26,77,37,8.48,PE,1667831102
85,lompoc,34.6391,-120.4579,55.78,97,100,9.22,US,1667831054
86,katobu,-4.9408,122.5276,76.6,91,100,1.14,ID,1667831103
87,boa vista,2.8197,-60.6733,82.38,74,75,3.44,BR,1667831041
88,cherskiy,68.75,161.3,-6.83,100,70,3.09,RU,1667831103
89,hermanus,-34.4187,19.2345,68.81,67,2,20.45,ZA,1667831104
90,nouadhibou,20.931,-17.0347,75.85,49,0,9.06,MR,1667831104
91,guerrero negro,27.9769,-114.0611,63.18,78,99,8.25,MX,1667831025
92,mount isa,-20.7333,139.5,74.97,53,79,0.0,AU,1667831104
93,umm lajj,25.0213,37.2685,79.88,55,0,14.16,SA,1667830518
94,huadian,42.9633,126.7478,34.2,69,0,4.54,CN,1667831105
95,khorixas,-20.3667,14.9667,86.67,15,0,20.2,NA,1667831105
96,nikolskoye,59.7035,30.7861,44.49,83,100,9.08,RU,1667831105
97,asau,46.4333,26.4,52.72,60,5,2.98,RO,1667831106
98,bambous virieux,-20.3428,57.7575,77.25,73,40,9.22,MU,1667831106
99,new norfolk,-42.7826,147.0587,54.72,79,24,2.89,AU,1667831106
100,husavik,66.0449,-17.3389,39.79,89,66,9.13,IS,1667831107
101,harper,4.375,-7.7169,83.41,71,88,10.31,LR,1667831107
102,ovre ardal,61.3167,7.8,40.08,99,100,2.28,NO,1667831107
103,atuona,-9.8,-139.0333,76.08,71,100,12.08,PF,1667830830
104,iracoubo,5.4802,-53.2011,85.08,63,99,7.2,GF,1667831108
105,yaan,7.3833,8.5667,92.62,25,41,5.41,NG,1667831108
106,bengkulu,-3.8004,102.2655,76.39,91,100,6.69,ID,1667831108
107,qaanaaq,77.484,-69.3632,-1.44,89,100,10.69,GL,1667831109
108,ambovombe,-25.1667,46.0833,76.68,74,35,10.49,MG,1667831109
109,tautira,-17.7333,-149.15,76.24,86,100,19.3,PF,1667831110
110,ampanihy,-24.7,44.75,82.26,54,34,12.53,MG,1667831110
111,lakes entrance,-37.8811,147.981,55.17,91,38,4.83,AU,1667831110
112,lavrentiya,65.5833,-171.0,30.07,96,100,14.36,RU,1667831110
113,vallenar,-28.5708,-70.7581,73.29,42,84,5.61,CL,1667831111
114,nuuk,64.1835,-51.7216,20.01,58,20,20.71,GL,1667830538
115,komsomolskiy,40.4272,71.7189,54.32,62,61,16.11,UZ,1667831111
116,tuktoyaktuk,69.4541,-133.0374,-0.4,85,40,6.91,CA,1667831111
117,mocuba,-16.8392,36.9856,97.66,26,80,9.24,MZ,1667831112
